,sum,sum,sum,sum,sum
,Shape_Area,Shape_Area,Shape_Area,Shape_Area,Shape_Area
COType,,HH,HL,LH,LL
RowLabel,,,,,
Artificial use | Building site,6944969.016610565,312465.648695468,237536.48544660816,56002.386320358135,2813017.3517147535
Artificial use | Drainage,2102045.341330637,579061.6322644462,35205.649400794435,47448.609367478115,113967.66571202868
Artificial use | Embankment,67180.24548760451,7987.73042282748,145.2961562888025,1786.8545896023702,4450.752561538717
Artificial use | Factory site,2175659.3453153884,1359.7615052585898,10924.512909013729,3434.9673155694695,227040.9362055175
Artificial use | Gas station,51679.008906081435,0.0,3933.3045628670675,992.2953126318554,11290.072075146256
Artificial use | Parking lot,54919.2897920102,1447.1478414831022,4074.6622816634663,5327.712590146019,11238.816987517206
Artificial use | Railroad site,160432.51697514733,8360.715494321757,1812.1763253475906,0.0,10726.82436837517
Artificial use | Religious site,158997.40281178735,4291.660057818564,148.58517776298171,0.0,18525.582193260012
Artificial use | Road,5139856.032721419,519583.30321058305,126174.44498489614,81756.1224012491,1341666.4539098188
Artificial use | Warehouse,171393.99624421538,19663.237078107857,2965.7390560808462,8570.653898897195,38785.134253322336
Artificial use | Water supply site,20524.00505094944,680.3149881493063,0.0,1554.8631703317315,2650.4177249380464
Mixed use | Fish farm,2596.978404714932,0.0,0.0,0.0,0.0
Mixed use | Historic site,0.0,0.0,0.0,0.0,795.6356068933047
Mixed use | Miscellaneous land,830934.5887686951,59042.41913812302,48648.77853901997,33051.49410031853,207420.4824281849
Mixed use | School site,895731.4433951217,25821.682086163153,20633.93850518918,2679.760466731723,269075.08505875466
Mixed use | Sports facility,84286.32671625355,5194.581463661593,0.0,0.0,49366.32379007821
Natural use | Cemetery,445206.9638641241,57856.99082837256,703.2370167814879,14096.99695763788,29980.27700385935
Natural use | Farmland,5701729.032519207,873853.0066811976,79097.75317978083,125675.8092138993,491656.99934471067
Natural use | Forest,61370534.657321714,4694082.319193133,856949.0707480728,636407.7728565246,1753912.1142918486
Natural use | Orchard,1259747.185800549,113328.97897475335,13078.707545427293,19671.209629685403,191199.03145291356
Natural use | Park area,376406.2311436861,0.0,10539.770320270389,359.3606195091929,115336.3158681013
Natural use | Ranch,283011.5262228771,11280.216786612258,20503.10841297797,4825.935335018542,9300.846103247364
Natural use | Reservoir,531546.7375471552,30589.44304326363,1922.475854874537,55502.64156876812,4957.269053184378
Natural use | Rice paddy,15011617.422855524,6930414.988769542,224290.95960746516,795382.3639228798,1199033.6911942344
Natural use | River,3438746.0863256236,288673.28145134635,55887.60024642465,262459.8691645887,85029.63928336625
