,median,median,median,median,median,,,,,median,median,median,median,median
,LandPrice,LandPrice,LandPrice,LandPrice,LandPrice,,,,,LandPrice,LandPrice,LandPrice,LandPrice,LandPrice
ASSOC_CAT,High-High,High-Low,Low-High,Low-Low,Not Significant,,0.000885,,ASSOC_CAT,High-High,High-Low,Low-High,Low-Low,Not Significant
RowLabel,,,,,,,,,RowLabel,,,,,
Artificial use | Building site,121850,327900,296200,568900,514500,,,,Artificial use | Building site,,,262.14,,
Artificial use | Drainage,0,0,0,0,0,,,,Artificial use | Drainage,,,0.00,,
Artificial use | Embankment,0,0,126700,0,0,,,,Artificial use | Embankment,,,112.13,,
Artificial use | Factory site,113550,137000,114800,128750,124250,,,,Artificial use | Factory site,,,101.60,,
Artificial use | Gas station,529600,355150,525300,428000,377200,,,,Artificial use | Gas station,,,464.89,,
Artificial use | Parking lot,320600,266500,156700,391450,385000,,,,Artificial use | Parking lot,,,138.68,,
Artificial use | Railroad site,0,43500,23100,31600,94000,,,,Artificial use | Railroad site,,,20.44,,
Artificial use | Religious site,103500,285100,176900,475200,299200,,,,Artificial use | Religious site,,,156.56,,
Artificial use | Road,0,4050,0,33000,18100,,,,Artificial use | Road,,,0.00,,
Artificial use | Warehouse,68150,155050,111950,162000,125600,,,,Artificial use | Warehouse,,,99.08,,
Artificial use | Water supply site,5820,103400,0,140400,61900,,,,Artificial use | Water supply site,,,0.00,,
Mixed use | Fish farm,0,0,0,0,98200,,,,Mixed use | Fish farm,,,0.00,,
Mixed use | Historic site,0,0,268300,0,0,,,,Mixed use | Historic site,,,237.45,,
Mixed use | Miscellaneous land,172500,157400,172300,143000,127650,,,,Mixed use | Miscellaneous land,,,152.49,,
Mixed use | School site,243300,459600,176150,461200,271600,,,,Mixed use | School site,,,155.89,,
Mixed use | Sports facility,60800,307950,0,354600,300800,,,,Mixed use | Sports facility,,,0.00,,
Natural use | Cemetery,31400,54600,17100,101800,38250,,,,Natural use | Cemetery,,,15.13,,
Natural use | Farmland,36550,96200,60500,84900,69300,,,,Natural use | Farmland,,,53.54,,
Natural use | Forest,6970,36700,7050,36800,30400,,,,Natural use | Forest,,,6.24,,
Natural use | Orchard,43500,90600,65400,108500,64100,,,,Natural use | Orchard,,,57.88,,
Natural use | Park area,0,45200,0,173500,162600,,,,Natural use | Park area,,,0.00,,
Natural use | Ranch,6110,30900,63300,67800,33650,,,,Natural use | Ranch,,,56.02,,
Natural use | Reservoir,7590,0,7590,0,6270,,,,Natural use | Reservoir,,,6.72,,
Natural use | Rice paddy,33100,40200,43600,53500,42500,,,,Natural use | Rice paddy,,,38.59,,
Natural use | River,0,0,0,6930,0,,,,Natural use | River,,,0.00,,
,,,,,,,,,,,,,,
,median,median,median,median,median,,,,,median,median,median,median,median
,LandPrice,LandPrice,LandPrice,LandPrice,LandPrice,,,,,LandPrice,LandPrice,LandPrice,LandPrice,LandPrice
ASSOC_CAT,High-High,High-Low,Low-High,Low-Low,Not Significant,,,,ASSOC_CAT,High-High,High-Low,Low-High,Low-Low,Not Significant
RowLabel,,,,,,,,,RowLabel,,,,,
Artificial use,52550,115500,162000,513000,388800,,,,Artificial use,,,143.37,,
Mixed use,174800,167200,172300,200000,154700,,,,Mixed use,,,152.4855,,
Natural use,32300,42700,39000,52500,41000,,,,Natural use,,,34.515,,
,,,,,,,,,,,,,,
,,,,,,,,,All,,,56.0205,,
