,mean,mean,mean,std,std,std,,,mean,mean,mean,std,std,std
,PreCoh,PostCoh,PredPost,PreCoh,PostCoh,PredPost,,,PreCoh,PostCoh,PredPost,PreCoh,PostCoh,PredPost
RowLabel,,,,,,,,RowLabel,,,,,,
Artificial use | Building site,0.740,0.642,-0.096,0.182,0.203,0.174,,Artificial use | Building site,0.74 (0.182),0.642 (0.203),-0.096 (0.174),0.182,0.203,0.174
Artificial use | Drainage,0.398,0.389,-0.005,0.172,0.153,0.159,,Artificial use | Drainage,0.398 (0.172),0.389 (0.153),-0.005 (0.159),0.172,0.153,0.159
Artificial use | Embankment,0.423,0.402,-0.025,0.194,0.176,0.148,,Artificial use | Embankment,0.423 (0.194),0.402 (0.176),-0.025 (0.148),0.194,0.176,0.148
Artificial use | Factory site,0.663,0.576,-0.082,0.193,0.190,0.141,,Artificial use | Factory site,0.663 (0.193),0.576 (0.19),-0.082 (0.141),0.193,0.190,0.141
Artificial use | Gas station,0.687,0.575,-0.113,0.181,0.194,0.174,,Artificial use | Gas station,0.687 (0.181),0.575 (0.194),-0.113 (0.174),0.181,0.194,0.174
Artificial use | Parking lot,0.652,0.549,-0.098,0.191,0.204,0.131,,Artificial use | Parking lot,0.652 (0.191),0.549 (0.204),-0.098 (0.131),0.191,0.204,0.131
Artificial use | Railroad site,0.576,0.518,-0.064,0.201,0.196,0.145,,Artificial use | Railroad site,0.576 (0.201),0.518 (0.196),-0.064 (0.145),0.201,0.196,0.145
Artificial use | Religious site,0.685,0.583,-0.075,0.199,0.214,0.187,,Artificial use | Religious site,0.685 (0.199),0.583 (0.214),-0.075 (0.187),0.199,0.214,0.187
Artificial use | Road,0.540,0.481,-0.056,0.221,0.196,0.170,,Artificial use | Road,0.54 (0.221),0.481 (0.196),-0.056 (0.17),0.221,0.196,0.170
Artificial use | Warehouse,0.613,0.541,-0.067,0.205,0.192,0.177,,Artificial use | Warehouse,0.613 (0.205),0.541 (0.192),-0.067 (0.177),0.205,0.192,0.177
Artificial use | Water supply site,0.489,0.454,-0.034,0.225,0.187,0.158,,Artificial use | Water supply site,0.489 (0.225),0.454 (0.187),-0.034 (0.158),0.225,0.187,0.158
Mixed use | Fish farm,0.522,0.454,-0.084,,,,,Mixed use | Fish farm,0.522 (0),0.454 (0),-0.084 (0),,,
Mixed use | Historic site,0.441,0.359,-0.041,,,,,Mixed use | Historic site,0.441 (0),0.359 (0),-0.041 (0),,,
Mixed use | Miscellaneous land,0.510,0.452,-0.058,0.218,0.203,0.165,,Mixed use | Miscellaneous land,0.51 (0.218),0.452 (0.203),-0.058 (0.165),0.218,0.203,0.165
Mixed use | School site,0.669,0.581,-0.072,0.194,0.196,0.145,,Mixed use | School site,0.669 (0.194),0.581 (0.196),-0.072 (0.145),0.194,0.196,0.145
Mixed use | Sports facility,0.569,0.464,-0.102,0.186,0.184,0.186,,Mixed use | Sports facility,0.569 (0.186),0.464 (0.184),-0.102 (0.186),0.186,0.184,0.186
Natural use | Cemetery,0.378,0.379,0.001,0.171,0.160,0.167,,Natural use | Cemetery,0.378 (0.171),0.379 (0.16),0.001 (0.167),0.171,0.160,0.167
Natural use | Farmland,0.419,0.402,-0.018,0.187,0.175,0.162,,Natural use | Farmland,0.419 (0.187),0.402 (0.175),-0.018 (0.162),0.187,0.175,0.162
Natural use | Forest,0.363,0.349,-0.013,0.161,0.147,0.138,,Natural use | Forest,0.363 (0.161),0.349 (0.147),-0.013 (0.138),0.161,0.147,0.138
Natural use | Orchard,0.433,0.412,-0.017,0.184,0.153,0.164,,Natural use | Orchard,0.433 (0.184),0.412 (0.153),-0.017 (0.164),0.184,0.153,0.164
Natural use | Park area,0.590,0.462,-0.107,0.193,0.159,0.124,,Natural use | Park area,0.59 (0.193),0.462 (0.159),-0.107 (0.124),0.193,0.159,0.124
Natural use | Ranch,0.533,0.487,-0.032,0.216,0.190,0.171,,Natural use | Ranch,0.533 (0.216),0.487 (0.19),-0.032 (0.171),0.216,0.190,0.171
Natural use | Reservoir,0.362,0.352,-0.010,0.179,0.152,0.136,,Natural use | Reservoir,0.362 (0.179),0.352 (0.152),-0.01 (0.136),0.179,0.152,0.136
Natural use | Rice paddy,0.389,0.416,0.027,0.179,0.169,0.193,,Natural use | Rice paddy,0.389 (0.179),0.416 (0.169),0.027 (0.193),0.179,0.169,0.193
Natural use | River,0.409,0.397,-0.013,0.187,0.178,0.167,,Natural use | River,0.409 (0.187),0.397 (0.178),-0.013 (0.167),0.187,0.178,0.167
